timestamp, Sun Apr 22 23:46:59 2001 PT
Yahoo! Sports http://sports.yahoo.com, The data is for personal use only and any reproduction or distribution for commercial purposes is expressly prohibited.
ID,TEAM,NAME,FULLNAME,STATUS,POS,AVG,BAT,HIT,DOUBLE,TRIPLE,HOMER,WALK,STEAL,HAND,CAUGHT,SAC_HIT,SAC_FLY,ERROR,RUN,RBI,PASSED,SO,GAMES,SLUGGING,HIT_BY,ON_BASE,ERA,WIN,LOSS,SAVE,INNING,H,BB,K,HR,R,ER,HIT_BAT,WP,BALK,WINNING,START,COMPLETE,SHUTOUT
3077,PIT,Ritchie,Todd Ritchie,A,SP,125,8,1,0,0,0,0,0,,0,0,0,0,0,1,0,4,3,125,0,125,3.42,0,2,0,17.1,22,9,8,3,10,7,3,0,0,0,3,0,0
3082,CHN,Tapani,Kevin Tapani,A,SP,250,4,1,0,0,0,0,0,,0,2,0,0,0,0,0,0,3,250,0,250,0.96,3,0,0,18.2,17,3,20,2,2,2,0,0,0,1000,3,0,0
3106,NYY,Boehringer,Brian Boehringer,A,RP,0,0,0,0,0,0,0,0,R,0,0,0,0,0,0,0,0,6,0,0,0,1.35,0,0,0,13.1,9,7,13,2,3,2,2,0,0,0,0,0,0
3116,NYY,Pettitte,Andy Pettitte,A,SP,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,4,0,0,0,2.97,3,1,0,30.1,38,3,18,2,11,10,1,0,0,750,4,1,0
3117,NYY,M Rivera,Mariano Rivera,A,RP,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,7,0,0,0,2.08,0,1,3,7.2,7,1,9,0,3,1,0,0,0,500,0,0,0
3120,CLE,Wickman,Bob Wickman,A,RP,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,8,0,0,0,2.25,1,0,3,7,5,5,7,1,2,2,1,0,0,1000,0,0,0
3154,CLE,Karsay,Steve Karsay,A,RP,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,10.1,2,4,10,0,0,0,0,0,0,0,0,0,0
3162,PIT,Taylor,Billy Taylor,A,RP,0,0,0,0,0,0,0,0,R,0,0,0,0,0,0,0,0,1,0,0,0,4.5,0,0,0,2,2,0,3,1,1,1,0,0,0,0,0,0,0
3163,CHN,Van Poppel,Todd Van Poppel,A,RP,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,0,6,0,0,0,6.23,0,0,0,4.1,4,2,8,1,3,1,0,0,0,0,0,0,0
3185,NYM,Appier,Kevin Appier,A,SP,0,9,0,0,0,0,0,0,,0,1,0,0,1,0,0,3,3,0,0,0,3.65,1,1,0,18,25,7,12,3,10,8,3,3,0,667,3,0,0
3196,OAK,Magnante,Mike Magnante,A,RP,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,0,5,0,0,0,2.89,0,0,0,8.2,8,1,3,2,5,3,1,0,0,0,0,0,0
3197,TAM,Meacham,Rusty Meacham,A,RP,0,0,0,0,0,0,0,0,R,0,0,0,0,0,0,0,0,6,0,0,0,3.38,0,1,0,10.2,7,2,4,2,6,4,2,1,0,0,0,0,0
3199,SDG,Ro Myers,Rodney Myers,A,RP,0,1,0,0,0,0,0,0,,0,0,0,1,0,0,0,0,6,0,0,0,3.72,0,1,0,7.2,6,5,7,2,5,4,1,0,0,0,0,0,0
3201,BOS,Pichardo,Hipolito Pichardo,I,RP,0,0,0,0,0,0,0,0,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3231,SFO,S Estes,Shawn Estes,A,SP,0,6,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,3,0,0,0,5.57,0,1,0,16,24,10,17,4,13,10,0,0,2,500,3,0,0
3235,ARI,R Johnson,Randy Johnson,A,SP,111,9,1,0,0,0,1,0,,0,1,0,0,0,0,0,4,4,111,0,200,5.53,2,2,0,27.2,26,9,39,5,17,17,4,1,0,500,4,1,0
3237,BOS,D Lowe,Derek Lowe,A,RP,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,6,0,0,0,6.48,1,3,2,7.2,13,5,6,2,6,4,1,0,0,250,0,0,0
3238,OAK,Mecir,Jim Mecir,A,RP,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,0,6,0,0,0,6.75,0,4,0,8,14,6,7,0,7,7,0,1,0,0,0,0,0
3239,SEA,Nelson,Jeff Nelson,A,RP,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,0,9,0,0,0,3.12,0,0,1,8.1,1,4,11,0,3,3,1,0,0,0,0,0,0
3242,KAN,M Suzuki,Mac Suzuki,A,SP,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,3,0,0,0,3.18,1,1,0,17,16,4,11,4,6,6,0,3,0,500,3,0,0
3243,MIN,B Wells,Bob Wells,A,RP,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,7,0,0,0,4.32,1,0,1,8,7,1,5,2,4,4,0,0,0,1000,0,0,0
3274,TEX,Helling,Rick Helling,A,SP,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,4,0,0,0,8.31,0,3,0,19.1,38,10,16,7,26,22,1,0,0,250,4,0,0
3281,TEX,D Oliver,Darren Oliver,A,SP,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,4,0,0,0,5.24,4,0,0,22.1,30,9,19,3,14,13,1,1,0,1000,4,0,0
